No.,SC名,,,"no,",filename,お気に入りQRURL,LPURL
1,,イオンタウンアヤハプラザ,ayahapuraza,001,001ayahapuraza.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000056830,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/001ayahapuraza.html
2,,イオンタウンおゆみ野,oyumino,002,002oyumino.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000086160,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/002oyumino.html
3,,イオンタウンさくら,sakura,003,003sakura.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000091110,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/003sakura.html
4,,イオンタウンしおだ野,shiodano,004,004shiodano.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000015300,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/004shiodano.html
5,,イオンタウン辰巳台,tatsumidai,005,005tatsumidai.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000070670,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/005tatsumidai.html
6,,イオンタウンふじみ野,fujimino,006,006fujimino.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000381790,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/006fujimino.html
7,,イオンタウンユーカリが丘,yukarigaoka,007,007yukarigaoka.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000021830,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/007yukarigaoka.html
8,,イオンタウン姶良,aira,008,008aira.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000055550,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/008aira.html
9,,イオンタウン旭,asahi,009,009asahi.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000727730,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/009asahi.html
10,,イオンタウン伊賀上野,igaueno,010,010igaueno.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000005300,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/010igaueno.html
11,,イオンタウン伊勢ララパーク,iselalapark,011,011iselalapark.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000075120,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/011iselalapark.html
12,,イオンタウン稲取,inatori,012,012inatori.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000046890,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/012inatori.html
13,,イオンタウン稲城長沼,inaginaganumanaganuma,013,013inaginaganumanaganuma.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000395580,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/013inaginaganumanaganuma.html
14,,イオンタウン稲毛長沼,inagenaganuma,014,014inagenaganuma.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000069380,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/014inagenaganuma.html
15,,イオンタウン茨島アネックス,barajima,015,015barajima.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000096020,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/015barajima.html
16,,イオンタウン茨木太田,ibarakioota,016,016ibarakioota.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000367220,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/016ibarakioota.html
17,,イオンタウン宇多津,utazu,017,017utazu.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000055560,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/017utazu.html
18,,イオンタウン羽昨,hanesaku,018,018hanesaku.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000025480,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/018hanesaku.html
19,,イオンタウン羽倉崎,hanekurazaki,019,019hanekurazaki.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000085060,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/019hanekurazaki.html
20,,イオンタウン塩釜,shiogama,020,020shiogama.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000043600,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/020shiogama.html
21,,イオンタウン塩川,shiokawa,021,021shiokawa.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000046840,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/021shiokawa.html
22,,イオンタウン岡崎美合,okazakimiai,022,022okazakimiai.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000395570,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/022okazakimiai.html
23,,イオンタウン加古川,kakogawa,023,023kakogawa.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000057460,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/023kakogawa.html
