CSCストアコード,都道府県,店舗名,お気に入り店舗QRのURL,6月20日
00000M1122,茨城県,イオンモール水戸内原,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1122,○
00000M1521,千葉県,イオンモール柏,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1521,○
00000M1190,千葉県,イオンモール幕張新都心,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1190,○
00000M1158,石川県,イオンモール新小松,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1158,○
00000M1503,愛知県,イオンモール熱田,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1503,○
00000M1110,愛知県,イオンモール岡崎,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1110,○
00000M1148,京都府,イオンモール京都桂川,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1148,○
00000M1525,京都府,イオンモール高の原,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1525,○
00000M1142,京都府,イオンモールKYOTO,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1142,○
00000M1558,福岡県,イオンモール筑紫野,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1558,○
00000M1562,福岡県,イオンモール福津,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1562,○
00000M1584,愛知県,イオンモール豊川,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1584,○
