CSCストアコード,都道府県,店舗名,お気に入り店舗QRのURL,画像名,屋号,画像表示開始日,画像表示終了日,市町村,住所,緯度,経度
00000M1154,北海道,イオンモール旭川駅前,https://asahikawaekimae-aeonmall.com/,000000000000_test01.jpg,イオンモール株式会社,,,旭川市,宮下通7-2-5,43.763792,142.357505
0000063650,北海道,イオン旭川駅前店,https://www.aeon-hokkaido.jp/aeon/shop/asahikawaekimae/?utm_source=aeon_app&utm_medium=app,000000000000_test02.jpg,イオン北海道株式会社,,,旭川市,宮下通7-2-5,43.763792,142.357505
0000063450,北海道,イオン旭川永山店,https://www.aeon-hokkaido.jp/aeon/shop/nagayama/?utm_source=aeon_app&utm_medium=app,000000000000_test03.jpg,イオン北海道株式会社,,,旭川市,永山3条12-2-11,43.801512,142.42152
0000020101,北海道,イオンモール旭川西,https://asahikawanishi-aeonmall.com/?utm_source=aeon_app&utm_medium=app,000000000000_test04.jpg,イオン北海道株式会社,,,旭川市,緑町23-2161-3,43.794138,142.326553
0000020100,北海道,イオン旭川西店,https://www.aeon-hokkaido.jp/aeon/shop/asahikawanishi/?utm_source=aeon_app&utm_medium=app,000000000000_test05.jpg,イオン北海道株式会社,,,旭川市,緑町23-2161-3,43.793938,142.326353
0000063390,北海道,イオン厚岸店,https://www.aeon-hokkaido.jp/aeon/shop/akkeshi/?utm_source=aeon_app&utm_medium=app,000000000000_test06.jpg,イオン北海道株式会社,,,厚岸郡厚岸町,港町1-39,43.054178,144.848307
0000063580,北海道,イオン岩見沢店,https://www.aeon-hokkaido.jp/aeon/shop/iwamizawa/?utm_source=aeon_app&utm_medium=app,000000000000_test07.jpg,イオン北海道株式会社,,,岩見沢市,大和4条8-1,43.18424,141.741208
0000063480,北海道,イオン江別店,https://www.aeon-hokkaido.jp/aeon/shop/ebetsu/?utm_source=aeon_app&utm_medium=app,000000000000_test08.jpg,イオン北海道株式会社,,,江別市,幸町35,43.096978,141.533644
0000063550,北海道,イオン小樽店,https://www.aeon-hokkaido.jp/aeon/shop/otaru/?utm_source=aeon_app&utm_medium=app,000000000000_test09.jpg,イオン北海道株式会社,,,小樽市,築港11-6,43.184587,141.021622
0000063500,北海道,イオン帯広店,https://www.aeon-hokkaido.jp/aeon/shop/obihiro/?utm_source=aeon_app&utm_medium=app,000000000000_test10.jpg,イオン北海道株式会社,,,帯広市,西4条南20-1,42.90874,143.20035
0000807020,北海道,イオン上磯店,https://www.aeon-hokkaido.jp/aeon/shop/kamiiso/?utm_source=aeon_app&utm_medium=app,000000000000_test11.jpg,イオン北海道株式会社,,,北斗市,七重浜4-44-1,41.821282,140.712631
0000063560,北海道,イオン北見店,https://www.aeon-hokkaido.jp/aeon/shop/kitami/?utm_source=aeon_app&utm_medium=app,000000000000_test12.jpg,イオン北海道株式会社,,,北見市,北進町1-1-1,43.808267,143.87553
0000063470,北海道,イオン釧路店,https://www.aeon-hokkaido.jp/aeon/shop/kushiro/?utm_source=aeon_app&utm_medium=app,000000000000_test13.jpg,イオン北海道株式会社,,,釧路郡釧路町,桂木1-1-7,43.01002044,144.404127
0000023141,北海道,イオンモール釧路昭和,https://www.aeon.jp/sc/kushiroshowa/?utm_source=aeon_app&utm_medium=app,000000000000_test14.jpg,イオン北海道株式会社,,,釧路市,昭和中央4-18-1,43.027072,144.360349
0000023140,北海道,イオン釧路昭和店,https://www.aeon-hokkaido.jp/aeon/shop/kushirosyouwa/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,釧路市,昭和中央4-18-1,43.026872,144.360149
0000804140,北海道,イオン札幌麻生店,https://www.aeon-hokkaido.jp/aeon/shop/asabu/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市北区,北39条西4-1-5,43.107267,141.33971
0000804120,北海道,イオン札幌琴似店,https://www.aeon-hokkaido.jp/aeon/shop/kotoni/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市西区,琴似2条4-2-2,43.07675,141.302949
0000804270,北海道,イオン札幌栄町店,https://www.aeon-hokkaido.jp/aeon/shop/sakaemachi/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市東区,北42条東16-1-5,43.113931,141.367621
0000006861,北海道,イオン札幌桑園ショッピングセンター,https://www.aeon.jp/sc/sapporosoen/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市中央区,北8条西14-28,43.069614,141.333511
0000006860,北海道,イオン札幌桑園店,https://www.aeon-hokkaido.jp/aeon/shop/souen/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市中央区,北8条西14-28,43.069414,141.333311
0000020121,北海道,イオンモール札幌苗穂,https://www.aeon.jp/sc/sapporonaebo/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市東区,東苗穂2条3-1-1,43.080053,141.404011
0000020120,北海道,イオン札幌苗穂店,https://www.aeon-hokkaido.jp/aeon/shop/naebo/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市東区,東苗穂2条3-1-1,43.079853,141.403811
0000063231,北海道,イオン札幌西岡ショッピングセンター,https://www.aeon.jp/sc/sapporonishioka/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市豊平区,西岡3条3-4-1,43.019198,141.387459
